,home,away,home_total,home_ml,away_total,away_ml
240,Indiana,Memphis,126,-500,114,375
241,Cleveland,Brooklyn,106,-120,108,100
242,Toronto,Philadelphia,101,105,96,-125
243,Boston,Sacramento,103,-290,102,235
244,Miami,Charlotte,117,-700,100,500
245,Atlanta,Minnesota,113,160,125,-190
246,Milwaukee,Utah,122,-425,118,325
247,Chicago,Portland,94,100,117,-120
248,SanAntonio,LALakers,104,170,114,-200
249,GoldenState,OklahomaCity,97,260,100,-330
250,Dallas,LAClippers,99,105,114,-125
251,Denver,Washington,117,-650,104,450
252,Indiana,Utah,121,-110,102,-110
253,Boston,Brooklyn,121,-400,110,300
254,Philadelphia,Sacramento,97,-500,91,375
255,Cleveland,Orlando,104,-110,116,-110
256,Charlotte,Detroit,102,150,101,-180
257,Toronto,NewYork,126,-600,98,425
258,Milwaukee,Atlanta,111,-1600,102,900
259,Memphis,LAClippers,119,225,121,-275
260,Houston,Miami,117,-310,108,250
261,SanAntonio,Minnesota,101,-150,113,130
262,Phoenix,Washington,132,-290,140,235
263,NewOrleans,LALakers,110,260,114,-330
264,Portland,OklahomaCity,136,-145,119,125
265,GoldenState,Chicago,104,110,90,-130
266,Brooklyn,Boston,112,150,107,-180
267,Detroit,Charlotte,107,-330,110,260
268,Orlando,Toronto,83,130,90,-150
269,NewYork,Philadelphia,95,230,101,-280
270,Cleveland,Milwaukee,110,500,119,-700
271,Indiana,Atlanta,105,-700,104,500
272,Miami,GoldenState,122,-750,105,525
273,OklahomaCity,NewOrleans,109,-195,104,165
274,Memphis,Utah,94,260,103,-330
275,SanAntonio,LAClippers,107,180,97,-220
276,Phoenix,Dallas,113,115,120,-135
277,Portland,Chicago,107,-300,103,240
278,LALakers,Washington,125,-750,103,525
279,Sacramento,Denver,100,155,97,-185
280,Philadelphia,Indiana,119,-260,116,210
281,Milwaukee,Charlotte,137,-1500,96,850
282,Houston,Atlanta,158,-1500,111,850
283,Brooklyn,Miami,106,155,109,-185
284,NewYork,Boston,104,300,113,-400
285,Minnesota,Memphis,107,-1000,115,650
286,LALakers,Dallas,100,-275,114,225
287,Detroit,SanAntonio,132,-140,98,120
288,NewOrleans,OklahomaCity,104,-140,107,120
289,Orlando,GoldenState,100,-350,96,275
290,Toronto,Utah,130,-130,110,110
291,LAClippers,Washington,150,-1000,125,650
292,Philadelphia,Utah,103,-220,94,180
293,Charlotte,Phoenix,104,145,109,-170
294,Atlanta,GoldenState,104,-260,79,210
295,Memphis,Indiana,104,350,117,-450
296,Milwaukee,NewYork,132,-3000,88,1200
297,Sacramento,Chicago,106,-220,113,180
298,Cleveland,Detroit,94,142,127,-165
299,Washington,Orlando,120,-110,127,-110
300,NewOrleans,Dallas,97,170,118,-200
301,Toronto,Miami,110,-240,121,190
302,SanAntonio,Houston,135,260,133,-330
303,Denver,LALakers,96,-135,105,115
304,LAClippers,Portland,117,-450,97,350
305,Detroit,Milwaukee,103,375,127,-500
306,Orlando,Phoenix,128,105,114,-125
307,Charlotte,GoldenState,106,-140,91,120
308,Atlanta,Brooklyn,118,130,130,-150
309,Boston,Miami,112,-230,93,185
310,Chicago,Memphis,106,-300,99,240
311,OklahomaCity,Indiana,100,105,107,-125
312,Dallas,Minnesota,121,-240,114,190
313,Utah,LALakers,96,-125,121,105
314,Portland,Sacramento,127,-220,116,180
315,Washington,Philadelphia,119,290,113,-380
316,Toronto,Houston,109,-130,119,110
317,NewYork,Denver,92,320,129,-420
318,NewOrleans,Phoenix,132,-185,139,155
319,Detroit,Indiana,108,105,101,-125
320,Cleveland,Orlando,87,160,93,-190
321,Charlotte,Brooklyn,104,130,111,-150
322,OklahomaCity,Minnesota,139,-170,127,145
323,Miami,Washington,112,-550,103,400
324,Chicago,GoldenState,98,-190,100,160
325,Boston,Denver,108,-160,95,140
326,Milwaukee,LAClippers,119,-190,91,160
327,SanAntonio,Sacramento,105,-185,104,155
328,Portland,LALakers,113,170,136,-200
329,Dallas,NewOrleans,130,-450,84,350
330,Philadelphia,Cleveland,141,-700,94,500
331,NewYork,Indiana,103,180,104,-220
332,Houston,Phoenix,115,-750,109,525
333,Utah,Memphis,126,-800,112,550
334,Brooklyn,Denver,105,155,102,-185
335,Charlotte,Atlanta,107,-125,122,105
336,Philadelphia,Toronto,110,-150,104,130
337,Miami,Chicago,110,-310,105,250
338,Washington,LAClippers,119,350,135,-450
339,Dallas,Sacramento,106,-430,110,330
340,Portland,OklahomaCity,96,-180,108,150
341,LALakers,Minnesota,142,-650,125,450
342,Indiana,LAClippers,99,-150,110,130
343,Boston,Cleveland,110,-1400,88,800
344,Chicago,Toronto,92,220,93,-270
